SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1.5223538870447864,54,0,1.5618163149797235,4908.244523539567,5,0,0,0,1.0
1,0.2032720440584371,41,0,0.3907599335940654,3413.6636581779353,5,0,1,0,0.0
0,0.0133361526508942,61,1,218.46759545466455,7871.362975873331,6,0,0,0,2.0
0,3.1152128154100933,62,0,2.264769787701182,16596.010758039673,2,0,2,1,2.0
0,3.884875236593046,18,0,0.8759623258650917,4425.325228073492,8,0,1,1,2.0
0,2.0590152374038917,100,0,70.83060972621676,2526.6190267789034,7,0,1,0,0.0
0,3.0544408021683744,32,5,9.805453093883983,5079.050453015031,6,0,0,0,0.0
0,0.0003017195985227,62,0,4.4612766008763325,4908.244523539567,7,5,2,0,0.0
0,1.5654055264479791,45,0,104.49265809623802,3136.9927246236844,5,0,2,0,0.0
0,0.0343987622499083,56,4,0.1898443208288124,4908.244523539567,8,0,2,0,0.0
0,1.004509818241457,42,6,10.085353655194938,3364.518146824432,11,0,0,0,1.0
1,1.5820604617910226,74,0,50.89974389659536,3539.9672136895565,14,0,1,0,0.0
0,0.4984679669845829,30,0,2.7958915471613435,4400.060030762604,6,0,1,0,0.0
0,2.0017907663603856,67,0,0.184400793818259,4908.244523539567,8,0,0,0,1.0
0,1.0825567185904608,23,0,9.300233806536404,5508.669878695505,10,0,1,0,0.0
0,1.661889651744687,53,0,5.56865018537318,1648.1100364178158,9,0,0,0,1.0
0,0.0321892331783508,31,0,123.2672742387974,6121.756982541127,7,0,0,0,1.0
0,0.0787724085943056,62,7,19.074943340865147,15486.29309625304,9,3,1,0,1.0
0,0.6545880530902283,57,0,3.9239687726338257,7225.06998946238,5,0,0,0,2.0
0,0.1625900383726886,59,0,0.5173486803567999,4908.244523539567,7,0,2,0,1.0
0,0.460422118678718,47,0,0.2208156572979769,7035.375192066557,11,0,0,0,0.0
0,7.870155756055752,48,0,1.4273541459506445,4908.244523539567,6,0,2,0,2.0
0,2.254613788109298,49,0,20.67133460799912,3230.856881096999,8,0,1,0,0.0
0,0.3374476454829385,34,0,16.19686693039354,3068.1156531438155,8,0,1,0,1.0
0,4.66506040202968,90,0,2.079973091112322,2186.152662030719,8,0,1,0,0.0
