Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0,1.5223538870447864,54,0,1.5618163149797235,,5,0,0,0,1.0
2,1,0.2032720440584371,41,0,0.3907599335940654,3413.6636581779353,5,0,1,0,0.0
3,0,0.0133361526508942,61,1,218.46759545466455,7871.362975873331,6,0,0,0,2.0
4,0,3.1152128154100933,62,0,2.264769787701182,16596.010758039673,2,0,2,1,2.0
5,0,3.884875236593046,18,0,0.8759623258650917,4425.325228073492,8,0,1,1,2.0
6,0,2.0590152374038917,100,0,70.83060972621676,2526.6190267789034,7,0,1,0,0.0
7,0,3.0544408021683744,32,5,9.805453093883985,5079.050453015031,6,0,0,0,0.0
8,0,0.00030171959852277755,62,0,4.4612766008763325,,7,5,2,0,0.0
9,0,1.5654055264479791,45,0,104.49265809623802,3136.9927246236844,5,0,2,0,0.0
10,0,0.034398762249908385,56,4,0.18984432082881247,,8,0,2,0,0.0
11,0,1.004509818241457,42,6,10.085353655194938,3364.518146824432,11,0,0,0,1.0
12,1,1.5820604617910226,74,0,50.89974389659536,3539.9672136895565,14,0,1,0,0.0
13,0,0.49846796698458296,30,0,2.7958915471613435,4400.060030762604,6,0,1,0,0.0
14,0,2.0017907663603856,67,0,0.18440079381825908,,8,0,0,0,1.0
15,0,1.0825567185904608,23,0,9.300233806536403,5508.669878695505,10,0,1,0,0.0
16,0,1.661889651744687,53,0,5.56865018537318,1648.1100364178158,9,0,0,0,1.0
17,0,0.03218923317835085,31,0,123.26727423879741,6121.756982541127,7,0,0,0,1.0
18,0,0.07877240859430562,62,7,19.074943340865147,15486.293096253039,9,3,1,0,1.0
19,0,0.6545880530902283,57,0,3.9239687726338253,7225.06998946238,5,0,0,0,2.0
20,0,0.1625900383726886,59,0,0.5173486803567999,,7,0,2,0,1.0
21,0,0.460422118678718,47,0,0.2208156572979769,7035.375192066557,11,0,0,0,0.0
22,0,7.870155756055752,48,0,1.4273541459506445,,6,0,2,0,2.0
23,0,2.254613788109298,49,0,20.671334607999118,3230.856881096999,8,0,1,0,0.0
24,0,0.3374476454829385,34,0,16.19686693039354,3068.1156531438155,8,0,1,0,1.0
25,0,4.66506040202968,90,0,2.079973091112322,2186.152662030719,8,0,1,0,0.0
26,0,0.4175441510565989,40,0,2.0798351872454055,1558.510071031116,3,0,2,0,0.0
27,0,3.258073662788422,45,0,9.99919004104651,8232.504931057661,7,0,0,0,1.0
28,0,2.286274505001665,56,0,3.0993425688773404,12282.434423324263,8,0,0,0,1.0
29,0,4.084476231208446,45,0,21.177623345644616,17862.06834231599,9,0,1,0,0.0
30,0,0.16202381592751153,56,0,18.39303705162405,1571.8038310503748,16,0,0,0,2.0
31,0,0.04482840752510879,24,0,0.8512907038670485,7138.96206149552,10,0,1,0,2.0
32,0,1.2519123884062175,51,0,9.31092871412507,5831.651206330733,7,0,1,0,1.0
33,0,1.8711548350673195,37,0,5.268457490090132,1586.0425542727787,11,2,0,0,2.0
34,1,0.055779472361800475,58,3,6.346064668880857,4322.133001284736,11,0,3,0,1.0
35,1,7.834446206936224,74,0,0.25551613259968525,,15,0,0,0,2.0
36,0,0.2813245077235067,80,0,5.539802351016572,1483.8519441057026,6,0,3,0,1.0
37,0,0.004312057811128259,45,0,184.1392168022179,3168.5247614780033,12,0,1,0,1.0
38,0,2.080012123126051,18,0,5.540154279357255,20128.08531944576,9,0,2,0,1.0
39,0,3.2124184561887126,56,0,0.505308438458076,2088.648635349088,8,0,2,2,0.0
40,0,0.6188326335005937,46,2,3.336271794846707,3443.032425033089,8,0,1,0,0.0
41,0,0.179072944728133,37,0,1.6628728159390098,,7,0,0,0,0.0
42,0,4.129183270447103,55,4,12.8043764972101,,4,0,0,0,1.0
43,0,1.623405563190608,55,0,4.98898163405489,17046.92639725854,8,0,0,0,1.0
44,0,9.176368304580203,62,0,50.860692337573006,74859.19014527924,12,0,2,0,1.0
45,0,0.38594674456328215,44,0,0.9175333558332716,2249.311248566747,3,0,1,1,0.0
46,0,2.313925154991123,42,0,0.21507466241422507,7311.348699647274,8,0,0,0,0.0
47,0,0.3097881246147729,42,0,0.10258346936369955,,6,0,1,0,1.0
48,0,0.03429151435354227,41,0,355.80835719885533,973.3875301371143,11,0,0,0,0.0
49,0,3.023854763746374,62,0,6.123265193087282,4513.8894831223215,11,0,1,0,2.0
50,0,0.3132865872550547,40,0,4.968333191339034,4276.2139193524845,12,0,3,0,1.0
51,1,0.6615235661461839,30,0,49.514685541274496,2770.2511769120288,10,0,2,0,2.0
52,0,0.42167055258916836,59,2,0.25682284150333373,3919.970608991671,9,0,0,0,1.0
53,1,1.144652510518221,58,96,1.1447374798505678,3289.566072401704,7,0,0,0,0.0
54,0,0.9130507144966351,80,0,0.7419321686217494,6853.736109669856,7,0,1,0,0.0
55,0,1.104040680707505,89,0,58.07863738123194,5958.6753694318995,8,1,0,0,1.0
56,0,0.29930988691727856,74,0,4.994617261680518,3924.7083457884023,9,0,2,0,1.0
57,0,4.226011226294878,62,0,0.021603154487125097,,5,0,1,0,1.0
58,0,0.42711820797648353,51,0,0.18250893483985015,,10,0,2,0,0.0
59,0,6.810743263458804,40,0,1.2102004345612798,2786.681083130371,7,0,0,0,0.0
60,0,0.7414162347045776,85,0,11.395392600843483,4846.319987762458,6,0,0,1,1.0
61,0,0.11676809621243925,57,2,20.924213386020945,6859.191919145648,4,0,0,0,1.0
62,0,0.01593386802061041,73,0,4.030287231563696,4175.0925025774295,8,1,3,1,1.0
63,0,0.014547735781836635,51,0,33.53891079187738,6629.955892945006,4,0,3,0,1.0
64,0,0.7248302046972026,59,0,2.627485511765663,5234.262867936566,6,0,1,0,1.0
65,0,2.2886817118689797,54,1,8.559005287511138,1880.947023420732,10,0,2,0,0.0
66,0,4.732307535276872,41,0,0.290741487516274,5305.815284983175,8,1,1,0,1.0
67,0,3.549045610303929,60,0,0.9408212506227134,3240.8994816240106,6,0,0,0,0.0
68,0,3.396343973086833,85,0,0.927986307398741,6320.541087214843,8,0,2,0,0.0
69,0,2.0006942049207517,44,0,6.358529311440839,4270.383878664595,11,0,1,0,1.0
70,1,0.0693095175106194,48,0,5.016651960271526,2899.0868339889034,7,0,1,0,1.0
71,0,0.25004177331862043,24,0,1.7391708913582589,2299.862538586158,12,0,3,0,1.0
72,0,0.7350793748384937,61,8,16.27139901521231,12029.46328815321,7,0,3,0,0.0
73,0,1.6027998454835415,60,0,0.9215405247910563,1836.9746409298527,8,0,1,8,1.0
74,0,0.6065984828477732,60,0,1.3617449323763617,4200.967949013784,8,0,1,0,1.0
75,0,0.19662209651079687,47,0,0.5890449707819451,22350.02649544053,10,0,0,0,1.0
76,0,7.2373382226186145,46,0,6.464070350298178,7542.46457049419,8,0,1,1,2.0
77,0,1.555496018206381,54,0,0.005995304294405232,1141.7998590322754,10,0,1,0,0.0
78,0,2.5749626347868397,59,0,29.517892739473144,764.5699541342123,8,5,1,0,1.0
79,0,0.7644556696711851,51,0,9.359938880764732,5408.956334631461,10,0,1,3,1.0
80,0,4.593423473843052,44,2,4.998783574032825,,16,2,1,0,2.0
81,0,0.0053039985367301,28,0,2.0150537097817764,8227.579482513192,11,0,2,0,1.0
82,0,0.29259574348120176,66,0,39.5913877447005,,14,0,1,4,1.0
83,0,0.1572446065958819,54,0,13.537583885449992,1295.0296703514048,7,0,2,0,3.0
84,0,0.08150138519202851,30,0,2.8991229693392686,8081.6144401391475,6,0,1,0,0.0
85,0,0.968329766715488,61,1,4.2047766508610245,,8,0,4,0,1.0
86,0,6.923859591407942,61,0,1.6213929459272223,,3,0,1,0,1.0
87,0,1.8696175393411067,44,0,0.5608513459604115,3453.7894785748827,4,0,3,0,0.0
88,0,1.398247486562436,36,0,16.976511994561992,,8,0,1,0,1.0
89,0,2.3772904728664184,67,0,0.08561552404428956,11576.967785240802,10,0,0,0,0.0
90,0,5.53053526717624,44,0,32.08506208467376,,7,0,1,0,0.0
91,0,4.967904512916886,18,1,4.284109907158184,7572.2279605737185,2,0,1,0,0.0
92,0,0.17522484212139133,50,0,1.0482662689347342,5744.481835586044,10,0,0,1,0.0
93,0,2.4207552677386217,54,1,17.21745242051468,6446.2432470502345,8,0,2,1,0.0
94,0,4.495554307025826,53,0,0.3141777124099126,3060.806591262895,5,0,0,0,0.0
95,0,0.017851908563382365,41,0,63.73942394312884,,7,0,1,0,1.0
96,0,0.30104357014624555,52,0,6.139610170772329,2590.7629490787995,7,2,0,0,2.0
97,0,0.5214811577019685,62,0,61.586141075336165,27765.682008728676,8,0,1,0,1.0
98,0,0.020665134555331317,19,0,0.4926257517673886,9630.26561158909,5,3,2,0,0.0
99,0,0.0548112554687047,60,0,18.32225589921676,12693.563186844374,8,0,0,0,0.0
100,0,0.5092211034647789,64,0,3.344039841137126,5783.092321026873,6,0,1,0,1.0
101,0,0.0002957988308440466,46,0,80.71376345911409,5643.956820043604,13,0,3,1,1.0
102,0,3.0518849711432043,31,0,9.4208367840345,3619.4714058310383,10,0,2,1,1.0
103,0,2.570974103582417,65,0,0.08621984818402288,,9,0,1,0,0.0
104,0,1.6173117798104335,71,0,1.1903793203988247,2790.127261126345,4,0,0,0,1.0
105,0,7.265393762545554,35,1,0.3397164294062253,,4,0,2,0,0.0
106,0,0.7654546149115588,49,0,0.3709454181414449,5076.683320695145,8,0,3,0,1.0
107,0,0.32141604932537454,37,0,6.914491248067709,25304.483888356157,8,0,2,0,2.0
108,0,7.911771173979361,42,0,4.629858776115816,9926.130290523084,12,0,1,0,1.0
109,0,8.042868316804675,51,0,10.572524840196396,17217.383878242916,6,0,5,0,1.0
110,0,0.023815141793258197,65,0,0.7205497826884674,16300.016838338524,4,0,0,0,1.0
111,0,0.036071460707914574,61,0,0.30096116188346744,4451.391219022399,7,0,1,0,0.0
112,0,5.975137735924277,54,0,0.1274204358170521,4870.261806540457,9,0,5,0,2.0
113,0,0.11937501910111764,85,1,28.316279107046608,3636.462872315997,11,0,1,0,1.0
114,0,0.029105679690945543,32,0,1.416730658008594,2343.6056733214336,10,0,0,0,1.0
115,0,0.0005196747149515084,43,0,116.38036589302814,10330.13330084911,7,3,1,0,0.0
116,0,0.5294052572057821,53,0,8.693769446562953,,7,0,0,0,1.0
117,0,0.1456716622433447,47,0,6.298459908709218,5564.989776316039,12,0,0,0,1.0
118,0,1.1344627437819712,48,0,1.9014888320083396,,8,0,1,0,2.0
119,0,0.7117621326382034,64,0,2.9286401158674567,13455.946248000926,10,0,2,0,3.0
120,0,0.8542760537493119,38,0,0.036458434549989836,4424.347292022491,8,0,2,0,1.0
121,0,1.8368496759452775,78,0,2.52245518457149,1852.2080710071587,5,0,1,0,0.0
122,0,0.03773628638675811,38,0,0.3097969948330549,24748.606497877354,3,0,0,0,0.0
123,0,4.070394430219729,40,0,1.4545231035706307,,9,0,2,0,2.0
124,0,0.7552078322363466,69,0,21.76226368445687,5585.267388906982,7,0,2,0,0.0
125,0,0.006273435952495066,70,0,1.9015670476131492,8072.154713483381,7,0,1,0,1.0
126,0,1.9360319034542115,47,0,1.5325889832478115,16132.947187380489,10,0,1,0,2.0
127,0,2.9271342945368053,70,0,5.034057493013611,3094.591646612887,12,0,1,0,3.0
128,0,1.4188632203745388,38,0,4.9719685486052185,,4,0,1,0,1.0
129,0,0.12150894767459514,23,0,0.3580808173316884,,10,0,0,0,0.0
130,0,1.0416494549708135,66,0,59.742212461593105,,7,0,1,1,1.0
131,0,5.552716846905871,29,0,2.9040972585185427,596.843023489939,9,0,2,0,1.0
132,0,3.0102211611960374,51,0,2.520807203912145,7009.260089079406,9,0,1,0,1.0
133,0,0.0004815420442465736,80,0,73.3437605610451,3007.4871791090354,8,0,1,0,2.0
134,0,2.080649528850437,37,0,0.6094061735197436,17407.571631741095,10,0,0,0,0.0
135,1,0.9785193026584171,32,0,3.480796077302079,,10,0,1,0,
136,0,1.1802405303350483,37,0,0.28801956500307013,4779.396893992347,10,0,0,0,0.0
137,0,0.9823311658780531,33,0,0.7788548142019713,7160.062680268321,4,0,1,0,0.0
138,0,0.01833009332407696,35,0,3.2492695011877926,3157.1421979970332,9,0,1,2,0.0
139,0,0.15660578404755993,28,0,125.73319948027195,8514.234260949479,6,0,0,0,1.0
140,1,1.608109585922738,66,0,24.981014299345627,1841.8756621875348,5,0,0,1,1.0
141,1,2.6355915946584316,26,0,82.73602764969739,9119.580540959805,7,0,0,0,0.0
142,0,6.843541284909059,61,0,8.484841447640958,5067.369161590563,8,0,0,0,0.0
143,0,2.5255042075293774,27,0,9.04977784002384,7594.801419624892,11,0,2,0,2.0
144,0,3.9271515274642645,54,0,2.070111952727967,4220.6751437249995,7,0,1,0,1.0
145,0,1.1466584642261983,65,0,21.55885705460979,4106.352013848765,13,0,0,0,0.0
146,0,0.9299946652378313,51,0,0.5593746329904474,1396.3763890197258,5,0,0,0,1.0
147,0,0.7988935722650934,33,0,81.11665838738715,15187.392167881155,6,0,0,0,0.0
148,0,0.34424040555408364,51,0,16.789238666372757,58178.49574777357,3,1,2,0,1.0
149,0,7.341974316327296,43,0,1.0857819244721274,4431.132615188846,8,0,1,0,0.0
150,0,4.506549616931159,49,0,0.04883800083441518,10729.830202541461,12,0,1,0,1.0
151,0,0.7462328143757511,32,0,0.564056614382851,11206.834612442774,7,0,1,0,0.0
152,0,2.013008649284242,57,1,51.93980510858758,4767.445828898618,6,3,2,0,1.0
153,0,0.1505161089920231,47,0,2.303121486048241,4970.48568078765,10,0,0,1,0.0
154,0,3.204533055638696,63,0,0.15441351353836263,11004.996657370553,13,0,1,0,1.0
155,1,0.8065346079127305,67,0,1.3193239599124562,1054.1935380790742,11,0,1,0,2.0
156,0,2.2401764432388873,57,0,0.45230316419944533,2073.1829921395442,10,0,1,0,2.0
157,0,1.7951151426887855,47,0,2.0129650485466644,,4,0,1,0,
158,0,2.744640064675921,40,0,6.8924046176483555,3095.946787836692,3,0,0,0,0.0
159,0,4.986057086546629,38,0,7.589752363838698,,9,0,1,0,0.0
160,0,1.698822254927964,56,0,95.74396847448978,6665.396225453822,8,0,1,0,1.0
161,0,0.3608385842812416,59,0,2.189280758627942,1472.1229311456088,7,0,1,0,0.0
162,0,2.8510791191411204,49,3,5.519803406779343,7334.717791875758,9,0,0,0,1.0
163,0,3.7150669287653977,51,0,1.0884718496455854,5163.852895431564,10,0,1,0,0.0
164,0,2.184008234267054,31,0,2.3081242125041643,3518.0522937422093,5,0,1,0,1.0
165,0,0.16986035130321758,54,0,7.232074232940736,10758.408871291495,10,0,0,0,0.0
166,0,0.6773280248866985,45,1,2.9331796477069263,2549.6956852735084,3,0,2,0,1.0
167,0,1.7846674432130443,69,1,50.60098371646753,4266.46238252966,7,0,0,0,0.0
168,0,3.9635469141991897,56,0,0.4019958828195468,3603.5108334531583,6,0,3,2,0.0
169,0,2.2659758598636306,47,0,0.36183220159021184,7306.852718182155,5,0,2,1,1.0
170,0,5.223525809857163,57,0,28.59996759689934,3064.5590783211564,11,0,2,0,2.0
171,0,0.03953962472879827,80,0,0.15877038243478572,,7,0,2,0,0.0
172,0,0.0908291864491835,65,1,4.908120420665169,7650.252252384333,8,0,2,0,1.0
173,0,1.134221936620596,43,0,0.038954470399948614,3501.5315002115044,11,0,1,0,1.0
174,0,6.9423772464517155,59,3,3.7771913244991135,2626.8376098944427,5,0,1,0,
175,0,1.5126789611924407,95,0,19.67844942153099,718.3978042993028,5,0,1,0,0.0
176,0,0.45242087271693743,65,0,13.845542354996546,,8,0,0,0,
177,0,0.19655341676584973,50,0,7.906936836874458,4395.4093564660025,8,1,3,1,0.0
178,0,1.2186941404923828,70,0,0.7871457138010453,5367.181707314102,10,0,1,0,0.0
179,1,3.423482735139842,25,0,13.485712549551147,11978.264720146408,11,0,0,0,0.0
180,0,5.5348338871705485,36,0,78.25618302837455,12106.374371296848,10,5,0,0,1.0
181,0,0.5469261983646143,23,2,0.15321120673357067,1837.657980036485,6,0,1,0,1.0
182,0,0.006923245923652151,28,0,2.8343896488033353,1915.9936848521602,10,0,1,0,1.0
183,0,0.5866751126022414,52,2,0.3143123804568324,,7,0,2,0,1.0
184,0,0.52768109030996,31,0,2.3595593071826335,15413.396299906077,9,0,2,0,0.0
185,0,2.9863899841009243,36,0,19.275144335898936,9864.221193376485,9,0,1,0,1.0
186,0,0.010592181418276942,26,0,0.4861477074954673,14566.194442196167,8,0,1,0,1.0
187,0,3.4978283150645058,58,0,49.29748734337225,4078.1889527799203,11,0,1,0,0.0
188,0,3.0342698269879764,33,0,1.3497060628062798,1725.1713753683248,5,0,3,0,0.0
189,0,1.9195768339902217,65,0,0.04940743735543569,8820.683848724653,5,0,0,0,2.0
190,0,0.6627986484976949,49,0,2.1370834744241014,2049.0957231105617,12,0,0,0,0.0
