customer_id,risk_score,risk_category
0,55,Medium Risk
1,90,Low Risk
2,55,Medium Risk
3,40,High Risk
4,40,High Risk
5,55,Medium Risk
6,40,High Risk
7,50,Medium Risk
8,55,Medium Risk
9,75,Medium Risk
10,40,High Risk
11,55,Medium Risk
12,70,Medium Risk
13,75,Medium Risk
14,55,Medium Risk
15,55,Medium Risk
16,70,Medium Risk
17,35,High Risk
18,70,Medium Risk
19,70,Medium Risk
20,90,Low Risk
21,55,Medium Risk
22,55,Medium Risk
23,70,Medium Risk
24,55,Medium Risk
25,70,Medium Risk
26,55,Medium Risk
27,55,Medium Risk
28,55,Medium Risk
29,70,Medium Risk
30,70,Medium Risk
31,55,Medium Risk
32,35,High Risk
33,55,Medium Risk
34,75,Medium Risk
35,70,Medium Risk
36,70,Medium Risk
37,55,Medium Risk
38,40,High Risk
39,55,Medium Risk
40,70,Medium Risk
41,40,High Risk
42,55,Medium Risk
43,65,Medium Risk
44,55,Medium Risk
45,75,Medium Risk
46,90,Low Risk
47,70,Medium Risk
48,55,Medium Risk
49,70,Medium Risk
50,70,Medium Risk
51,75,Medium Risk
52,40,High Risk
53,55,Medium Risk
54,35,High Risk
55,70,Medium Risk
56,75,Medium Risk
57,90,Low Risk
58,55,Medium Risk
59,55,Medium Risk
60,55,Medium Risk
61,35,High Risk
62,70,Medium Risk
63,70,Medium Risk
64,40,High Risk
65,55,Medium Risk
66,55,Medium Risk
67,55,Medium Risk
68,55,Medium Risk
69,70,Medium Risk
70,70,Medium Risk
71,55,Medium Risk
72,40,High Risk
73,70,Medium Risk
74,70,Medium Risk
75,40,High Risk
76,75,Medium Risk
77,35,High Risk
78,55,Medium Risk
79,20,High Risk
80,70,Medium Risk
81,55,Medium Risk
82,70,Medium Risk
83,70,Medium Risk
84,40,High Risk
85,55,Medium Risk
86,55,Medium Risk
87,55,Medium Risk
88,75,Medium Risk
89,55,Medium Risk
90,40,High Risk
91,55,Medium Risk
92,25,High Risk
93,75,Medium Risk
94,70,Medium Risk
95,50,Medium Risk
96,80,Low Risk
97,70,Medium Risk
98,70,Medium Risk
99,70,Medium Risk
100,55,Medium Risk
101,40,High Risk
102,75,Medium Risk
103,55,Medium Risk
104,60,Medium Risk
105,90,Low Risk
106,80,Low Risk
107,55,Medium Risk
108,55,Medium Risk
109,70,Medium Risk
110,90,Low Risk
111,75,Medium Risk
112,55,Medium Risk
113,70,Medium Risk
114,50,Medium Risk
115,70,Medium Risk
116,70,Medium Risk
117,55,Medium Risk
118,70,Medium Risk
119,75,Medium Risk
120,55,Medium Risk
121,90,Low Risk
122,55,Medium Risk
123,70,Medium Risk
124,70,Medium Risk
125,55,Medium Risk
126,55,Medium Risk
127,55,Medium Risk
128,90,Low Risk
129,40,High Risk
130,55,Medium Risk
131,55,Medium Risk
132,70,Medium Risk
133,55,Medium Risk
134,55,Medium Risk
135,75,Medium Risk
136,55,Medium Risk
137,55,Medium Risk
138,70,Medium Risk
139,40,High Risk
140,55,Medium Risk
141,55,Medium Risk
142,55,Medium Risk
143,55,Medium Risk
144,55,Medium Risk
145,55,Medium Risk
146,70,Medium Risk
147,60,Medium Risk
148,55,Medium Risk
149,75,Medium Risk
150,70,Medium Risk
151,20,High Risk
152,55,Medium Risk
153,75,Medium Risk
154,55,Medium Risk
155,75,Medium Risk
156,55,Medium Risk
157,55,Medium Risk
158,55,Medium Risk
159,55,Medium Risk
160,70,Medium Risk
161,40,High Risk
162,55,Medium Risk
163,55,Medium Risk
164,70,Medium Risk
165,55,Medium Risk
166,40,High Risk
167,60,Medium Risk
168,60,Medium Risk
169,55,Medium Risk
170,90,Low Risk
171,55,Medium Risk
172,75,Medium Risk
173,40,High Risk
174,55,Medium Risk
175,70,Medium Risk
176,35,High Risk
177,55,Medium Risk
178,55,Medium Risk
179,35,High Risk
180,75,Medium Risk
181,70,Medium Risk
182,75,Medium Risk
183,70,Medium Risk
184,55,Medium Risk
185,90,Low Risk
186,55,Medium Risk
187,55,Medium Risk
188,75,Medium Risk
189,70,Medium Risk
190,75,Medium Risk
191,55,Medium Risk
192,90,Low Risk
193,70,Medium Risk
194,35,High Risk
195,70,Medium Risk
196,55,Medium Risk
197,55,Medium Risk
198,55,Medium Risk
